,K,Proportion,Error
0,0.0,0.0,33.078519855595665
1,0.0,0.1,32.820383451059534
2,0.0,0.2,32.14939024390244
3,0.0,0.3,31.125117591721544
4,0.0,0.4,31.153225806451612
5,0.0,0.5,31.73228346456693
6,0.0,0.6,32.518264840182646
7,0.0,0.7,33.20232896652111
8,0.0,0.8,35.66253101736973
9,0.0,0.9,37.320388349514566
10,0.001001001001001001,0.0,32.96393501805054
11,0.001001001001001001,0.1,32.68754793138244
12,0.001001001001001001,0.2,32.00463414634146
13,0.001001001001001001,0.3,30.980733772342433
14,0.001001001001001001,0.4,31.001673387096773
15,0.001001001001001001,0.5,31.561220472440944
16,0.001001001001001001,0.6,32.342146118721466
17,0.001001001001001001,0.7,33.018253275109174
18,0.001001001001001001,0.8,35.445136476426796
19,0.001001001001001001,0.9,37.08427184466019
20,0.002002002002002002,0.0,32.85234657039711
21,0.002002002002002002,0.1,32.55908173562059
22,0.002002002002002002,0.2,31.866412601626017
23,0.002002002002002002,0.3,30.842812793979306
24,0.002002002002002002,0.4,30.856683467741934
25,0.002002002002002002,0.5,31.39763779527559
26,0.002002002002002002,0.6,32.1733904109589
27,0.002002002002002002,0.7,32.84005822416302
28,0.002002002002002002,0.8,35.235732009925556
29,0.002002002002002002,0.9,36.85776699029127
30,0.003003003003003003,0.0,32.745478339350186
31,0.003003003003003003,0.1,32.43485368314833
32,0.003003003003003003,0.2,31.733191056910567
33,0.003003003003003003,0.3,30.710536218250237
34,0.003003003003003003,0.4,30.71821572580645
35,0.003003003003003003,0.5,31.24109251968504
36,0.003003003003003003,0.6,32.011883561643835
37,0.003003003003003003,0.7,32.66981077147016
38,0.003003003003003003,0.8,35.035607940446646
39,0.003003003003003003,0.9,36.64116504854369
40,0.004004004004004004,0.0,32.64285198555957
41,0.004004004004004004,0.1,32.31508577194753
42,0.004004004004004004,0.2,31.606382113821137
43,0.004004004004004004,0.3,30.583979303857014
44,0.004004004004004004,0.4,30.58595766129032
45,0.004004004004004004,0.5,31.091161417322837
46,0.004004004004004004,0.6,31.857454337899544
47,0.004004004004004004,0.7,32.50491994177583
48,0.004004004004004004,0.8,34.84138957816378
49,0.004004004004004004,0.9,36.430145631067965
50,0.005005005005005005,0.0,32.546525270758124
51,0.005005005005005005,0.1,32.202996972754796
52,0.005005005005005005,0.2,31.486402439024392
53,0.005005005005005005,0.3,30.463697083725307
54,0.005005005005005005,0.4,30.45951612903226
55,0.005005005005005005,0.5,30.94797244094488
56,0.005005005005005005,0.6,31.709668949771686
57,0.005005005005005005,0.7,32.34783114992722
58,0.005005005005005005,0.8,34.65660049627792
59,0.005005005005005005,0.9,36.22606796116505
60,0.006006006006006006,0.0,32.454187725631776
61,0.006006006006006006,0.1,32.09487386478305
62,0.006006006006006006,0.2,31.369857723577233
63,0.006006006006006006,0.3,30.348720602069616
