team,orating,drating,combined
Hawthorn,35.57425456339118,18.77076112569515,27.172507844543162
Western Bulldogs,36.67964237281254,8.255825437180338,22.467733904996436
Geelong,30.1795490241434,-4.573483769339219,12.803032627402091
Gold Coast,18.1846004018061,5.96325524892846,12.073927825367281
Fremantle,16.65683260365759,5.066535372938515,10.861683988298052
Brisbane Lions,23.475426675761277,-3.01356220951075,10.230932233125264
Sydney,16.962258007580523,-0.0235603108096373,8.469348848385444
Adelaide,0.6385397746750217,4.455361303006558,2.54695053884079
St Kilda,4.032603215824141,0.2725863685890903,2.1525947922066155
Melbourne,11.932152220785106,-13.318858501852242,-0.693353140533568
Collingwood,-8.539862548692907,5.320406463716291,-1.609728042488308
Greater Western Sydney,5.2843610705114505,-10.39161480024995,-2.55362686486925
North Melbourne,0.3221571164560042,-14.834251800091495,-7.256047341817745
Carlton,-10.7584897397954,-11.99327352514803,-11.375881632471714
Port Adelaide,-14.042277496535371,-17.5588039642363,-15.800540730385837
West Coast,-14.941574075572218,-29.483963646028567,-22.21276886080039
Essendon,-20.627920313880576,-26.290579071829676,-23.459249692855124
Richmond,-28.20288147198753,-19.42290552101615,-23.812893496501843
