team,orating,drating,combined
Sydney,39.8133933601624,2.9878818145733836,21.400637587367893
Fremantle,11.307226824929751,23.489921821119054,17.398574323024402
Hawthorn,17.128448968207092,15.472392067324977,16.300420517766035
Geelong,28.24802239185089,1.924143080683122,15.086082736267006
Brisbane Lions,29.3480563915906,-4.901473259394593,12.223291566098004
Carlton,3.8292614213714087,4.270900982852954,4.050081202112182
Western Bulldogs,13.52488194542203,-6.818391244771068,3.3532453503254804
St Kilda,7.52267413669901,-2.3571947991927966,2.5827396687531063
Adelaide,0.8225965751741771,3.3546438637534406,2.0886202194638086
Greater Western Sydney,4.367546922454686,-0.937748159060857,1.7148993816969145
Melbourne,9.565729898466024,-6.535142285245682,1.5152938066101713
Collingwood,-10.860899447052049,11.067078828552836,0.10308969075039354
Port Adelaide,-7.750393488425829,-0.139810550500514,-3.945102019463172
Gold Coast,1.1168070124034637,-11.963462790599156,-5.4233278890978465
North Melbourne,-4.892987445279676,-17.91653081111157,-11.404759128195623
Essendon,-28.037617190305596,-16.64337254202681,-22.340494866166203
West Coast,-17.804311623169458,-27.95429595339224,-22.87930378828085
Richmond,-37.094506662994775,-26.544224454185898,-31.819365558590334
