team,orating,drating,combined
Sydney,38.61775535712743,14.76983946668882,26.693797411908125
Brisbane Lions,33.183375895944636,5.689934949315549,19.436655422630093
Hawthorn,19.810883252201464,14.7182382678898,17.264560760045633
Geelong,32.98325425680737,-0.187143118344618,16.398055569231378
Fremantle,6.376982094163003,11.846638150632948,9.111810122397976
Western Bulldogs,21.799702693227907,-8.132380138527681,6.833661277350113
Collingwood,-10.635077719648985,17.10742979247428,3.2361760364126484
Melbourne,14.772151054434566,-9.435119948974725,2.6685155527299207
Gold Coast,10.469503707557056,-8.53580144933626,0.966851129110398
Greater Western Sydney,5.444900016680727,-3.709523231213221,0.8676883927337529
Port Adelaide,-2.2051236831144223,0.8701922219184501,-0.6674657305979861
St Kilda,6.647706589652541,-8.794432237781933,-1.073362824064696
Adelaide,2.062726420113361,-6.871796846625112,-2.4045352132558753
North Melbourne,1.2298166731667843,-11.991628890136248,-5.380906108484732
Carlton,-0.5255277988635426,-14.492052172382513,-7.508789985623028
Essendon,-20.63549610613132,-31.18038404899307,-25.907940077562195
Richmond,-30.83222227303461,-24.99082198833707,-27.91152213068584
West Coast,-26.109874547838057,-39.12737905983058,-32.61862680383432
