team,orating,drating,combined
Fremantle,15.86877059271941,26.986725456290387,21.427748024504897
Sydney,31.095864234363976,1.4849396963406565,16.290401965352316
Hawthorn,15.051591276140249,11.200333324308506,13.125962300224376
Brisbane Lions,29.582524937834012,-5.2100028967671825,12.186261020533415
Geelong,24.807829591575587,-2.509188613010325,11.14932048928263
Carlton,6.635727794229941,8.244578776559553,7.4401532853947465
Western Bulldogs,11.271467375623995,-5.011775732459398,3.1298458215822986
St Kilda,6.613495753810943,-0.7467530883256083,2.9333713327426674
Melbourne,4.252414448732979,0.5483937217496191,2.400404085241299
Collingwood,-6.580891520497218,10.349831973618768,1.884470226560775
Port Adelaide,-1.3832025073075949,5.147282512437643,1.8820400025650241
Greater Western Sydney,1.8350478649286064,-2.421173033571427,-0.2930625843214103
Adelaide,-6.6773997791462065,4.257603116814057,-1.209898331166075
Gold Coast,-0.9715069942855692,-5.577266423047227,-3.2743867086663982
North Melbourne,-5.6168679291834485,-9.678546588958286,-7.647707259070867
West Coast,-19.994306578421913,-29.871148297038353,-24.932727437730133
Essendon,-33.07199948509816,-18.155497718128014,-25.61374860161309
Richmond,-34.447577208267646,-27.30007245368259,-30.873824830975117
