team,orating,drating,combined
Fremantle,21.0655334513216,24.186197767263742,22.62586560929267
Brisbane Lions,32.75137872029178,0.0019758716402802,16.376677295966033
Hawthorn,19.113043187507547,9.126353442116006,14.119698314811776
Sydney,24.753522640865523,-0.0476788910209653,12.352921874922279
Geelong,18.70909524560034,-2.65201292566959,8.028541159965375
Melbourne,12.338133532482049,2.8186556192695753,7.578394575875812
St Kilda,10.060226009209725,1.8088953829407968,5.934560696075261
Adelaide,-4.87607487384571,14.071658280669585,4.5977917034119375
Greater Western Sydney,5.702183505660092,2.091295085515561,3.8967392955878264
Collingwood,-4.873625889429477,9.144065404529096,2.1352197575498093
Western Bulldogs,4.624044825253746,-0.4514322830970485,2.0863062710783487
Carlton,-2.9379632292775044,1.8635810355208595,-0.5371910968783224
Port Adelaide,-2.165405327037954,0.304802656279322,-0.9303013353793159
North Melbourne,-3.3997536674253803,-11.4207687205138,-7.410261193969591
Gold Coast,-5.54313189356533,-13.8744627161863,-9.708797304875816
West Coast,-22.089767722044343,-25.965221670324105,-24.027494696184224
Essendon,-36.41505752533705,-19.778573179203715,-28.096815352270383
Richmond,-30.562390793802994,-27.472074755273244,-29.01723277453812
