team,orating,drating,combined
Fremantle,13.673238457337794,23.038431014624056,18.355834735980924
Sydney,29.375632532133157,2.1243600156189664,15.74999627387606
Brisbane Lions,29.722713669214677,-2.4224685399164607,13.650122564649108
Geelong,23.666780901331187,-4.295863010997312,9.685458945166937
Hawthorn,14.01499173945123,3.892493737318377,8.953742738384804
Melbourne,9.989107421464809,3.1561398726969374,6.5726236470808725
Carlton,4.9450391559292335,6.314989870056419,5.630014512992826
St Kilda,8.622589789705009,0.8398361651643881,4.731212977434699
Western Bulldogs,9.115932176420806,-1.7754291503036996,3.6702515130585533
Collingwood,-6.083543318732197,11.671494301512382,2.7939754913900927
Greater Western Sydney,7.174784116355508,-1.6170827079503822,2.778850704202563
Port Adelaide,-2.1967150782079097,6.701466062044291,2.252375491918191
Adelaide,-8.642826111166837,6.687625542558475,-0.9776002843041809
Gold Coast,-0.9732931542182768,-7.394490792773157,-4.183891973495717
North Melbourne,-8.793295514075364,-7.2427899827727025,-8.018042748424033
West Coast,-21.11392396327092,-29.216127005913133,-25.16502548459203
Essendon,-34.948520472638,-19.87466001997224,-27.41159024630512
Richmond,-32.33828349726678,-25.78908861987961,-29.063686058573197
