team,orating,drating,combined
Sydney,34.986120497064974,20.670041917013663,27.828081207039318
Geelong,40.54151336903793,6.05610071214187,23.2988070405899
Hawthorn,25.996832025326917,14.186177532422562,20.09150477887474
Brisbane Lions,29.89322534813752,5.109982786799643,17.50160406746858
Fremantle,6.27244803486201,14.362250749269531,10.31734939206577
Western Bulldogs,21.799702693227907,-8.132380138527681,6.833661277350113
Greater Western Sydney,7.566505898584154,-5.385182404167936,1.090661747208109
Gold Coast,14.477988474165036,-12.899530474409366,0.7892289998778352
Melbourne,8.20966029264245,-9.876638985532464,-0.833489346445007
Adelaide,5.556303291101609,-7.361202430057904,-0.9024495694781476
Collingwood,-18.422253025241247,14.456327617430484,-1.9829627039053817
St Kilda,1.9264674805478903,-11.597865765746896,-4.835699142599503
North Melbourne,0.9269484803491146,-11.9639562025022,-5.5185038610765424
Port Adelaide,-9.250107602885633,-6.672725567014018,-7.961416584949825
Carlton,-5.21981587812092,-14.616606265805656,-9.918211071963288
Essendon,-19.071551768593928,-21.440119483126832,-20.255835625860378
West Coast,-20.315807051078515,-35.19166348367654,-27.75373526737753
Richmond,-30.308493234206544,-25.259451838548248,-27.783972536377398
