team,orating,drating,combined
Sydney,34.065787845953565,7.811501708779414,20.93864477736649
Geelong,35.602105076187506,1.3791821120363934,18.49064359411195
Hawthorn,21.02535982097451,11.910428701291972,16.467894261133242
Brisbane Lions,31.454778316239317,-1.4809596576535724,14.986909329292873
Fremantle,4.1488531457805715,8.726921950621477,6.437887548201024
Western Bulldogs,13.780091355636356,-3.03072528042528,5.374683037605538
Collingwood,-7.805780188981471,18.32109059057171,5.25765520079512
Melbourne,13.50014270235948,-7.232356826461167,3.133892937949156
Adelaide,5.081966088787912,-0.2604992523776008,2.4107334182051554
St Kilda,3.7572611598787655,-4.496520068817653,-0.36962945446944384
Port Adelaide,-3.5574358730154767,2.312171814254531,-0.6226320293804728
Gold Coast,8.121044260058074,-10.147103522555298,-1.013029631248612
Carlton,1.2122337164994892,-3.488754944800142,-1.1382606141503264
Greater Western Sydney,-3.236106923944404,-6.804780955185556,-5.02044393956498
North Melbourne,1.995667991232042,-13.83802954510516,-5.921180776936559
Essendon,-25.34114260859506,-21.344295643225763,-23.342719125910413
West Coast,-22.436074438540796,-32.00786385678657,-27.221969147663685
Richmond,-36.582449896268635,-21.10646327352077,-28.8444565848947
