team,orating,drating,combined
Sydney,39.77011071216755,7.980535098399779,23.875322905283664
Hawthorn,17.397604959037498,14.446793850828707,15.922199404933103
Geelong,31.856300026459763,-1.3447639179955515,15.255768054232107
Fremantle,6.288752450790692,16.659914532167747,11.47433349147922
Brisbane Lions,27.69116996209317,-11.166572591810514,8.262298685141328
Carlton,7.9853249129887764,2.8657909032940965,5.425557908141436
Western Bulldogs,15.519850568608279,-8.056917642291456,3.7314664631584114
Adelaide,2.9160257592137224,0.9218440437836946,1.9189349014987085
Greater Western Sydney,4.367546922454686,-0.937748159060857,1.7148993816969145
Melbourne,9.565729898466023,-6.535142285245682,1.5152938066101704
St Kilda,4.931563092360774,-4.715454390686106,0.10805435083733395
Collingwood,-10.860899447052047,11.067078828552837,0.10308969075039531
Gold Coast,6.004770038485516,-8.929440054767856,-1.46233500814117
Port Adelaide,-6.8744816986131205,-0.9972356953354851,-3.935858696974303
North Melbourne,1.4198758707863166,-12.380912464087192,-5.4805182966504375
West Coast,-18.528774913325464,-27.248319308213972,-22.888547110769718
Essendon,-26.474853401302838,-20.957089743088076,-23.715971572195457
Richmond,-37.094506662994775,-26.544224454185894,-31.819365558590334
