team,orating,drating,combined
Sydney,34.065787845953565,7.811501708779414,20.93864477736649
Geelong,35.602105076187506,1.3791821120363934,18.49064359411195
Hawthorn,22.695639097221985,10.995140365659063,16.845389731440523
Brisbane Lions,31.454778316239317,-1.4809596576535724,14.986909329292873
Fremantle,3.7443950151075938,9.922803152071314,6.833599083589454
Western Bulldogs,13.780091355636356,-3.03072528042528,5.374683037605538
Collingwood,-7.805780188981471,18.32109059057171,5.25765520079512
Melbourne,13.50014270235948,-7.232356826461167,3.133892937949156
Adelaide,7.163797412193493,-3.0973215163977468,2.0332379478978733
Port Adelaide,-3.5574358730154767,2.312171814254531,-0.6226320293804728
St Kilda,4.042396443153183,-5.57307842286893,-0.7653409898578736
Gold Coast,8.121044260058074,-10.147103522555298,-1.013029631248612
Carlton,1.2122337164994892,-3.488754944800142,-1.1382606141503264
Greater Western Sydney,-3.236106923944404,-6.804780955185556,-5.02044393956498
North Melbourne,1.995667991232042,-13.83802954510516,-5.921180776936559
Essendon,-22.009688178364236,-24.35923326011517,-23.184460719239702
West Coast,-22.436074438540796,-32.00786385678657,-27.221969147663685
Richmond,-33.92631710329584,-24.07911287983498,-29.00271499156541
